name,latitude,longitude,weight
id_402,-1.2889249,36.7900038,1
id_403,-1.2887897,36.790909,1
id_404,-1.2856126,36.791729,1
id_405,-1.2915453,36.7904313,1
id_406,-1.2616151,36.7881205,1
id_407,-1.2645749,36.7566544,1
id_408,-1.2922001,36.782942,1
id_409,-1.2893296,36.7883178,1
id_410,-1.2981956,36.7620093,1
id_411,-1.2979092,36.7626444,1
id_412,-1.3091392,36.704624,1
id_413,-1.2635904,36.8018085,1
id_414,-1.3011141,36.7806801,1
id_415,-1.2947887,36.8065764,1
id_416,-1.2981696,36.7621894,1
id_417,-1.3000869,36.7897519,1
id_418,-1.2923256,36.779866,1
id_419,-1.3409981,36.7929272,1
id_420,-1.3104681,36.7988296,1
id_421,-1.2973428,36.8022159,1
id_422,-1.2633293,36.8077576,1
id_423,-1.3077371,36.8036695,1
id_424,-1.259824,36.7774131,1
id_425,-1.2598936,36.7763258,1
id_426,-1.26038,36.8092145,1
id_427,-1.2570334,36.8027,1
id_428,-1.2567245,36.8028716,1
id_429,-1.3427,36.7642987,1
id_430,-1.284337,36.742976,1
id_431,-1.3068216,36.8020059,1
id_432,-1.3222748,36.8088297,1
id_433,-1.3230815,36.7031939,1
id_434,-1.343276,36.665983,1
id_435,-1.2955789,36.8021396,1
id_436,-1.2540754,36.7921557,1
id_437,-1.2677327,36.8084392,1
id_438,-1.2982578,36.7603679,1
id_439,-1.288024,36.741743,1
id_440,-1.2957893,36.8071943,1
id_441,-1.2650803,36.7382043,1
id_442,-1.2642215,36.8008542,1
id_443,-1.296813,36.800899,1
id_444,-1.327654,36.717338,1
id_445,-1.3181003,36.7145777,1
id_446,-1.3144232,36.7827122,1
id_447,-1.3106044,36.7923902,1
id_448,-1.3128847,36.7789499,1
id_449,-1.3109131,36.7900408,1
id_450,-1.3117701,36.7927883,1
id_451,-1.3158943,36.7938883,1
id_452,-1.3158759,36.7952358,1
id_453,-1.313207,36.793287,1
id_454,-1.3103868,36.7958157,1
id_455,-1.309689,36.7868134,1
id_456,-1.3132322,36.7805594,1
id_457,-1.3144036,36.7761783,1
id_458,-1.311055,36.7882173,1
id_459,-1.3146991,36.7942567,1
id_460,-1.3112316,36.7890498,1
id_461,-1.3104996,36.7891132,1
id_462,-1.3120459,36.7906588,1
id_463,-1.3117443,36.7929726,1
id_464,-1.3150596,36.7902852,1
id_465,-1.315097,36.790573,1
id_466,-1.3146274,36.7950352,1
id_467,-1.3138256,36.794168,1
id_468,-1.3078684,36.7860504,1
id_469,-1.3084031,36.7895003,1
